city_key,timezone
abu dhabi,Asia/Dubai
acapulco,America/Mexico_City
adelaide,Australia/Adelaide
albuquerque,America/Denver
almaty,Asia/Almaty
amelia island,America/New_York
amersfoort,Europe/Amsterdam
amsterdam,Europe/Amsterdam
antalya,Europe/Istanbul
antwerp,Europe/Brussels
astana,Asia/Almaty
athens,Europe/Athens
athens olympics,Europe/Athens
atlanta,America/New_York
atlanta olympics,America/New_York
atp cup,Australia/Sydney
auckland,Pacific/Auckland
austin,America/Chicago
australian open,Australia/Melbourne
bad gastein,Europe/Vienna
bad homburg,Europe/Berlin
bahia,America/Bahia
baku,Asia/Baku
bali,Asia/Makassar
bangalore,Asia/Kolkata
bangkok,Asia/Bangkok
banja luka,Europe/Sarajevo
barcelona,Europe/Madrid
barcelona olympics,Europe/Madrid
basel,Europe/Zurich
bastad,Europe/Stockholm
bayonne,Europe/Paris
beijing,Asia/Shanghai
beijing olympics,Asia/Shanghai
belgrade,Europe/Belgrade
berlin,Europe/Berlin
bermuda,Atlantic/Bermuda
biel,Europe/Zurich
birmingham,Europe/London
boca raton,America/New_York
bogota,America/Bogota
bol,Europe/Zagreb
bologna,Europe/Rome
bolzano,Europe/Rome
bordeaux,Europe/Paris
boston,America/New_York
bournemouth,Europe/London
brasilia,America/Sao_Paulo
bratislava,Europe/Bratislava
brescia,Europe/Rome
brighton,Europe/London
brisbane,Australia/Brisbane
brussels,Europe/Brussels
bucharest,Europe/Bucharest
budapest,Europe/Budapest
buenos aires,America/Argentina/Buenos_Aires
buzios,America/Sao_Paulo
cabo san lucas,America/Mazatlan
cagliari,Europe/Rome
calvia,Europe/Madrid
canada masters,America/Toronto
canadian open,America/Toronto
canberra,Australia/Sydney
cancun finals,America/Cancun
cardiff,Europe/London
carlsbad,America/Los_Angeles
casablanca,Africa/Casablanca
charleston,America/New_York
charlotte,America/New_York
chengdu,Asia/Shanghai
chennai,Asia/Kolkata
chicago,America/Chicago
cincinnati,America/New_York
cincinnati masters,America/New_York
cleveland,America/New_York
cluj napoca,Europe/Bucharest
cologne,Europe/Berlin
copenhagen,Europe/Copenhagen
coral springs,America/New_York
cordoba,America/Argentina/Cordoba
costa do sauipe,America/Bahia
courmayeur,Europe/Rome
dallas,America/Chicago
delray beach,America/New_York
doha,Asia/Qatar
dubai,Asia/Dubai
durban,Africa/Johannesburg
dusseldorf,Europe/Berlin
east hanover,America/New_York
eastbourne,Europe/London
essen,Europe/Berlin
estoril,Europe/Lisbon
fes,Africa/Casablanca
figueira da foz,Europe/Lisbon
filderstadt,Europe/Berlin
florence,Europe/Rome
florianopolis,America/Sao_Paulo
forest hills,America/New_York
fort worth finals,America/Chicago
gdynia,Europe/Warsaw
geneva,Europe/Zurich
genova,Europe/Rome
german open,Europe/Berlin
gijon,Europe/Madrid
gippsland trophy,Australia/Melbourne
gold coast,Australia/Brisbane
grampians trophy,Australia/Melbourne
granby,America/Toronto
